country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,zscore_total_deaths,normalized_total_deaths,month
Hungary,Hungary,0,2022-03-21,2022-03-27,7,2022,12,9709786,2759.0,297,2583.03286516853,175.967134831469,2462.0,3.05876978133195,1.81226584016856,0.0681242338045083,-0.2796111273915504,-0.29902913129063774,3
Hungary,Hungary,0,2022-03-28,2022-04-03,7,2022,13,9709786,2775.0,252,2539.43286516853,235.567134831467,2523.0,2.59531981446347,2.42607957406545,0.0927636788759274,-0.27808874775620085,-0.29596919530573673,3
Hungary,Hungary,0,2022-04-04,2022-04-10,7,2022,14,9709786,2728.0,211,2458.43286516853,269.567134831469,2517.0,2.17306540020552,2.77624177125499,0.109649988271285,-0.28256073793504016,-0.30495775726138347,4
Hungary,Hungary,0,2022-04-11,2022-04-17,7,2022,15,9709786,2522.0,144,2426.03286516853,95.9671348314691,2378.0,1.48303989397913,0.988354787957933,0.0395572278551155,-0.3021613757401657,-0.3443544330669841,4
Hungary,Hungary,0,2022-04-18,2022-04-24,7,2022,16,9709786,2580.0,183,2378.03286516853,201.967134831468,2397.0,1.88469653193181,2.080036932137,0.0849303379232973,-0.2966427495620236,-0.3332621651217179,4
Hungary,Hungary,0,2022-04-25,2022-05-01,7,2022,17,9709786,2578.0,153,2384.63286516853,193.367134831467,2425.0,1.57572988735282,1.99146649402435,0.0810888492127715,-0.29683304701644225,-0.33364465711983055,4
Hungary,Hungary,0,2022-05-02,2022-05-08,7,2022,18,9709786,2370.0,65,2314.83286516853,55.1671348314703,2305.0,0.669427729921133,0.568160151330527,0.0238320164110222,-0.3166239822759865,-0.3734238249235438,5
Hungary,Hungary,0,2022-05-09,2022-05-15,7,2022,19,9709786,2329.0,77,2262.43286516853,66.5671348314695,2252.0,0.793014387752727,0.685567476270533,0.0294228111058277,-0.3205250800915697,-0.38126491088485265,5
Hungary,Hungary,0,2022-05-16,2022-05-22,7,2022,20,9709786,2163.0,103,2219.63286516853,-56.6328651685303,2060.0,1.06078547972118,-0.583255544133829,-0.0255145191158583,-0.3363197688083214,-0.41301174672820073,5
Hungary,Hungary,0,2022-05-23,2022-05-29,7,2022,21,9709786,2114.0,61,2223.63286516853,-109.632865168532,2053.0,0.628232177310602,-1.12909661622339,-0.0493034919953932,-0.34098205644157936,-0.4223828006819601,5
Hungary,Hungary,0,2022-05-30,2022-06-05,7,2022,22,9709786,2239.0,40,2234.43286516853,4.56713483146723,2199.0,0.411955526105313,0.0470364108072745,0.0020439794377646,-0.329088465540411,-0.3984770507999209,5
Iceland,Iceland,0,2019-12-30,2020-01-05,7,2020,1,370335,57.0,0,48.6322565543026,8.36774344569736,57.0,0.0,2.2595065132103,0.172061591185965,-0.5367029883112067,-0.8157758207407975,12
Iceland,Iceland,0,2020-01-06,2020-01-12,7,2020,2,370335,55.0,0,49.9655898876399,5.03441011236011,55.0,0.0,1.35942055500023,0.100757543815278,-0.5368932857656253,-0.81615831273891,1
Iceland,Iceland,0,2020-01-13,2020-01-19,7,2020,3,370335,52.0,0,46.6322565543066,5.36774344569345,52.0,0.0,1.44942915082113,0.115107949782406,-0.5371787319472534,-0.816732050736079,1
Iceland,Iceland,0,2020-01-20,2020-01-26,7,2020,4,370335,55.0,0,47.2989232209732,7.70107677902678,55.0,0.0,2.07948932156744,0.16281716907272,-0.5368932857656253,-0.81615831273891,1
Iceland,Iceland,0,2020-01-27,2020-02-02,7,2020,5,370335,39.0,0,45.4655898876399,-6.46558988763992,39.0,0.0,-1.74587600082086,-0.142208424076724,-0.538415665400975,-0.8192182487238111,1
Iceland,Iceland,0,2020-02-03,2020-02-09,7,2020,6,370335,47.0,0,48.6322565543065,-1.63225655430654,47.0,0.0,-0.440751361417781,-0.0335632493730534,-0.5376544755833002,-0.8176882807313606,2
Iceland,Iceland,0,2020-02-10,2020-02-16,7,2020,7,370335,49.0,0,48.4655898876399,0.534410112360092,49.0,0.0,0.144304511418065,0.011026588422818,-0.5374641781288815,-0.817305788733248,2
